Climate;Year;Wetness;FM;FMnr;Y;WPET
Chitedze;Wet;Chitedze-Wet;Bunds;2;-3.9;2.7
Chitedze;Normal;Chitedze-Normal;Bunds;2;-3.7;0.9
Chitedze;Dry;Chitedze-Dry;Bunds;2;28.8;26.3
Mekelle;Wet;Mekelle-Wet;Bunds;2;-2.1;1.1
Mekelle;Normal;Mekelle-Normal;Bunds;2;19;14.2
Mekelle;Dry;Mekelle-Dry;Bunds;2;38.6;32.8
Tunis;Wet;Tunis-Wet;Bunds;2;-3.4;-1.4
Tunis;Normal;Tunis-Normal;Bunds;2;4.7;3.2
Chitedze;Wet;Chitedze-Wet;M50;5;0.8;30.9
Chitedze;Normal;Chitedze-Normal;M50;5;13.9;41.6
Chitedze;Dry;Chitedze-Dry;M50;5;55.7;80.7
Mekelle;Wet;Mekelle-Wet;M50;5;1.5;31.8
Mekelle;Normal;Mekelle-Normal;M50;5;25.3;47.8
Mekelle;Dry;Mekelle-Dry;M50;5;90.6;118.1
Tunis;Wet;Tunis-Wet;M50;5;-0.7;27.8
Tunis;Normal;Tunis-Normal;M50;5;10.7;30.4
Chitedze;Wet;Chitedze-Wet;M95;6;-4.5;89.3
Chitedze;Normal;Chitedze-Normal;M95;6;17.6;108.5
Chitedze;Dry;Chitedze-Dry;M95;6;72.4;167.7
Mekelle;Wet;Mekelle-Wet;M95;6;1;86.6
Mekelle;Normal;Mekelle-Normal;M95;6;32.3;114.1
Mekelle;Dry;Mekelle-Dry;M95;6;153.6;279.1
Tunis;Wet;Tunis-Wet;M95;6;-2.3;97.6
Tunis;Normal;Tunis-Normal;M95;6;13.3;86.9
Chitedze;Wet;Chitedze-Wet;Restr;8;-10.3;0.4
Chitedze;Normal;Chitedze-Normal;Restr;8;-10.7;1
Chitedze;Dry;Chitedze-Dry;Restr;8;22.4;27.8
Mekelle;Wet;Mekelle-Wet;Restr;8;-35.9;-24.6
Mekelle;Normal;Mekelle-Normal;Restr;8;-43.8;-39.2
Mekelle;Dry;Mekelle-Dry;Restr;8;-1.3;-1.9
Tunis;Wet;Tunis-Wet;Restr;8;-9.3;-3.7
Tunis;Normal;Tunis-Normal;Restr;8;-2.7;-1.4
Chitedze;Wet;Chitedze-Wet;RWH;7;-4.7;2.5
Chitedze;Normal;Chitedze-Normal;RWH;7;2.2;7.5
Chitedze;Dry;Chitedze-Dry;RWH;7;47.4;41.5
Mekelle;Wet;Mekelle-Wet;RWH;7;-1.3;2.3
Mekelle;Normal;Mekelle-Normal;RWH;7;28;19.4
Mekelle;Dry;Mekelle-Dry;RWH;7;83.4;66.6
Tunis;Wet;Tunis-Wet;RWH;7;-5.3;-2.3
Tunis;Normal;Tunis-Normal;RWH;7;10.3;5.9
Chitedze;Wet;Chitedze-Wet;TAW-;4;12.8;7.9
Chitedze;Normal;Chitedze-Normal;TAW-;4;-5.2;-4.1
Chitedze;Dry;Chitedze-Dry;TAW-;4;1.2;6.9
Mekelle;Wet;Mekelle-Wet;TAW-;4;-12.4;-14.8
Mekelle;Normal;Mekelle-Normal;TAW-;4;-21.3;-23.4
Mekelle;Dry;Mekelle-Dry;TAW-;4;-17.8;-18.9
Tunis;Wet;Tunis-Wet;TAW-;4;3.7;3.7
Tunis;Normal;Tunis-Normal;TAW-;4;-4.5;-1.7
Chitedze;Wet;Chitedze-Wet;TAW+;3;-19.2;-14.2
Chitedze;Normal;Chitedze-Normal;TAW+;3;-8.9;-6
Chitedze;Dry;Chitedze-Dry;TAW+;3;-16.7;-18.5
Mekelle;Wet;Mekelle-Wet;TAW+;3;-7.7;-4
Mekelle;Normal;Mekelle-Normal;TAW+;3;4.1;4.1
Mekelle;Dry;Mekelle-Dry;TAW+;3;-4.6;-7.6
Tunis;Wet;Tunis-Wet;TAW+;3;-13.3;-12.3
Tunis;Normal;Tunis-Normal;TAW+;3;-17.8;-17.4
Chitedze;Wet;Chitedze-Wet;W15;9;-10.2;-10.3
Chitedze;Normal;Chitedze-Normal;W15;9;-10.4;-10.9
Chitedze;Dry;Chitedze-Dry;W15;9;-10.7;-11.3
Mekelle;Wet;Mekelle-Wet;W15;9;-10.4;-11.1
Mekelle;Normal;Mekelle-Normal;W15;9;-10.2;-10.8
Mekelle;Dry;Mekelle-Dry;W15;9;-10;-10.5
Tunis;Wet;Tunis-Wet;W15;9;-9;-9.8
Tunis;Normal;Tunis-Normal;W15;9;-9.4;-10.4
Chitedze;Wet;Chitedze-Wet;W30;10;-21;-21.1
Chitedze;Normal;Chitedze-Normal;W30;10;-21.2;-22
Chitedze;Dry;Chitedze-Dry;W30;10;-21.5;-22.4
Mekelle;Wet;Mekelle-Wet;W30;10;-21.3;-22.4
Mekelle;Normal;Mekelle-Normal;W30;10;-21.1;-22.2
Mekelle;Dry;Mekelle-Dry;W30;10;-20.7;-21.5
Tunis;Wet;Tunis-Wet;W30;10;-19.1;-20.5
Tunis;Normal;Tunis-Normal;W30;10;-19.5;-21.2
Tunis;Dry;Tunis-Dry;XXX;100;300;300
